global_epoch_ids,program_names,graph_name,warnings,op_name,first_to_last_input,grid_size,kernel_total_runtime,kernel_runtime_per_input,model_runtime_per_input,kernel_math_utilization,model_math_utilization,bw_limited_factor,slowest_operand,bw_bound_total_runtime,bw_bound_runtime_per_input,bw_bound_math_utilization,output_pipe_bw_0,required_output_pipe_bw_0,input_pipe_bw_0,required_input_bw_0,input_pipe_bw_1,required_input_bw_1,input_pipe_bw_2,required_input_bw_2,input_pipe_bw_3,required_input_bw_3,input_pipe_bw_4,required_input_bw_4,input_pipe_bw_5,required_input_bw_5,input_pipe_bw_6,required_input_bw_6,input_pipe_bw_7,required_input_bw_7
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",597,597,399,32.16,48.12,8.6,output,5132,5132,3.74,1.62,13.94,2.97,13.94,0,3.48,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.query.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",666,666,296,28.83,64.86,6.82,output,4543,4543,4.23,1.83,12.49,0,3.12,0,12.49,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_recip_s_brcst_m1_0_0.lc1,0->0,"[1, 1]",578,578,399,33.22,48.12,7.85,output,4537,4537,4.23,1.83,14.39,0,14.39,0,3.6,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_value.bias,0->0,"[1, 1]",2033,2033,3461,6.3,3.7,2.22,input-1,4520,4520,2.83,7.42,16.37,0,16.37,7.36,16.37,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_mha_1_sq,0->0,"[1, 1]",1685,1685,2191,22.79,17.53,2.65,input-0,4472.53,4473,8.59,89.7,19.75,7.44,19.75,9.83,19.75,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_query,0->0,"[1, 1]",3779,3779,3618,81.29,84.91,1.17,output,4438,4438,69.22,7.5,8.81,0,8.81,0,8.81,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff_1_ff2.bias,0->0,"[1, 1]",1737,1737,2055,7.37,6.23,2.45,output,4252,4252,3.01,7.83,19.16,0,19.16,N/A,19.16,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_key.bias,0->0,"[1, 1]",3010,3010,5335,4.25,2.4,1.4,output,4218,4218,3.03,7.89,11.06,0,11.06,N/A,11.06,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_output.bias,0->0,"[1, 1]",1738,1738,2055,7.36,6.23,2.38,output,4138,4138,3.09,8.04,19.15,0,19.15,N/A,19.15,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_recip,0->0,"[1, 1]",3999,3999,3648,68.02,74.56,1,N/A,3999,3999,68.02,28.4,2.08,0,2.08,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_recip,0->0,"[1, 1]",3989,3989,3648,68.19,74.56,1,N/A,3989,3989,68.19,28.4,2.09,0,2.09,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_recip,0->0,"[1, 1]",3987,3987,3648,68.22,74.56,1,N/A,3987,3987,68.22,28.49,2.09,0,2.09,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_mha_1_sqrt,0->0,"[1, 1]",3878,3878,3648,67.25,71.49,1,N/A,3878,3878,67.25,28.59,2.15,5.77,2.15,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_sqrt,0->0,"[1, 1]",3878,3878,3648,67.25,71.49,1,N/A,3878,3878,67.25,28.59,2.15,0,2.15,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_0_sqrt,0->0,"[1, 1]",3875,3875,3648,67.3,71.49,1,N/A,3875,3875,67.3,28.59,2.15,4.78,2.15,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_key,0->0,"[1, 1]",3837,3837,4044,80.06,75.96,1,N/A,3837,3837,80.06,89.95,8.67,0,8.67,0,8.67,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_mean.lc1,0->0,"[1, 1]",1217,1217,1037,63.11,74.06,3.14,output,3822,3822,20.09,2.18,6.84,0,27.35,0,6.84,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,mha_1_output,0->0,"[1, 1]",3721,3721,3618,82.56,84.91,1,N/A,3721,3721,82.56,89.7,8.94,0,8.94,0,8.94,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_mean.lc1,0->0,"[1, 1]",1231,1231,1037,62.39,74.06,2.94,output,3625,3625,21.19,2.3,6.76,0,27.03,0,6.76,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,ff.bert.encoder.layer.1.attention.self.value.bias_s_brcst_m2_0_0.lc1,0->0,"[1, 1]",579,579,392,33.16,48.98,6.21,output,3593,3593,5.34,2.32,14.37,0,3.59,0,14.37,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_0_sq,0->0,"[1, 1]",1707,1707,2191,22.5,17.53,2.04,input-0,3481.6,3482,11.03,89.22,19.5,9.56,19.5,12.09,19.5,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_bias,0->0,"[1, 1]",1746,1746,2055,7.33,6.23,1.84,output,3219,3219,3.98,10.34,19.06,0,19.06,N/A,19.06,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,mha_1_query.bias,0->0,"[1, 1]",3008,3008,5335,4.26,2.4,1,N/A,3008,3008,4.26,90.68,11.06,12.54,11.06,12.36,11.06,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_output,0->0,"[1, 1]",2021,2021,3523,19,10.9,1.43,input-1,2896,2896,13.26,89.22,16.47,0,16.47,11.49,16.47,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_weights,0->0,"[1, 1]",1650,1650,2635,23.27,14.57,1.61,input-0,2654.86,2655,14.46,90.19,20.17,12.54,20.17,0,20.17,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,,norm_ff_1_bias_output_nop_0,0->0,"[1, 1]",1317,1317,1506,9.72,8.5,1.72,input-0,2265.14,2265,5.65,101.46,25.27,14.69,25.27,,,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_var.lc1,0->0,"[1, 1]",1250,1250,944,61.44,81.36,1.43,input-0,1789.71,1790,42.91,28.3,6.66,18.6,26.62,0,6.66,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_sq,0->0,"[1, 1]",1735,1735,2191,22.13,17.53,1,N/A,1735,1735,22.13,89.7,19.18,0,19.18,0,19.18,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_output,0->0,"[1, 1]",1610,1610,2635,23.85,14.57,1,N/A,1610,1610,23.85,90.43,20.67,0,20.67,0,20.67,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_weights,0->0,"[1, 1]",1609,1609,2635,23.87,14.57,1,N/A,1609,1609,23.87,90.43,20.68,0,20.68,N/A,20.68,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_var_plus_eps,0->0,"[1, 1]",634,634,631,5.05,5.07,2.33,input-0,1476,1476,2.17,28.59,13.12,5.64,13.12,0,13.12,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_var.lc1,0->0,"[1, 1]",1262,1262,944,60.86,81.36,1,N/A,1262,1262,60.86,28.3,6.59,0,26.37,0,6.59,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_0_var.lc1,0->0,"[1, 1]",1252,1252,944,61.34,81.36,1,N/A,1252,1252,61.34,28.3,6.65,0,26.58,0,6.65,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_ff_1_var_plus_eps,0->0,"[1, 1]",633,633,631,5.06,5.07,1,N/A,633,633,5.06,28.69,13.14,0,13.14,0,13.14,,,,,,,,,,,,
[2],['run_fwd'],fwd_2_temporal_epoch_1,<< BW for some pipes not measured. >>,norm_mha_1_var_plus_eps,0->0,"[1, 1]",624,624,631,5.13,5.07,1,N/A,624,624,5.13,28.89,13.33,0,13.33,0,13.33,,,,,,,,,,,,
